media_subtype,vendor
DISPLAY,AD ASIA TECHNOLOGY INDONESIA
TECH SERVICE,CHANNEL FACTORY ASIA PACIFIC PTE. LTD.
CONTENT & PRODUCTION,VAKANSI DEDIKASI SEMESTA PT.
DISPLAY,MIMS Pte Ltd
CONTENT & PRODUCTION,KOMPAS CYBER MEDIA; PT.
CONTENT & PRODUCTION,AD ASIA TECHNOLOGY INDONESIA
CONTENT & PRODUCTION,MEDIA PUTRA NUSANTARA
DISPLAY,LIPUTAN6 DOT COM
SPONSORSHIP/ PACKAGE,GRAB TEKNOLOGI INDONESIA; PT.
CONTENT & PRODUCTION,MUDA MUDI BERKARYA SEJAHTERA; PT
CONTENT & PRODUCTION,BEAUTINESIA MEDIA NUSANTARA; PT
SPONSORSHIP/ PACKAGE,ASTRO TECHNOLOGIES INDONESIA ; PT
DISPLAY,YIELD MARKETING TECHNOLOGY; PT.
CONTENT & PRODUCTION,TELEKOMUNIKASI SELULAR; PT.
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
DISPLAY,GOTO GOJEK TOKOPEDIA Tbk; PT
DISPLAY,GOTO GOJEK TOKOPEDIA Tbk; PT
SPONSORSHIP/ PACKAGE,SPOTIFY SERVICES INDONESIA; PT.
INFLUENCER,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
VIDEO,TOKOPEDIA; PT.
DISPLAY,ADMATTIC ASIA PACIFIC PT.
DISPLAY,ARKADIA MEDIA NUSANTARA; PT.
DISPLAY,FORK MEDIA ASIA PTE. LTD
DISPLAY,TELEKOMUNIKASI SELULAR; PT.
PAID VIDEO,MINDSHARE SINGAPORE
INFLUENCER,POPS ENTERTAIMENT GROUP; PT
DISPLAY,Mediadonuts Pte Ltd
INFLUENCER,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
CONTENT & PRODUCTION,LIPUTAN6 DOT COM
CONTENT & PRODUCTION,WARNA EMAS INDONESIA PT.
AD-OPS,DOUBLE VERIFY INC
INFLUENCER,ETCETERA ARTECHSINDO ;PT
SPONSORSHIP/ PACKAGE,TRANS DIGITAL MEDIA; PT
DISPLAY,GRAB TEKNOLOGI INDONESIA; PT.
CONTENT & PRODUCTION,GLOBAL LOYALTY INDONESIA; PT
DISPLAY,MAIDEN MARKETING PTE. LTD
DISPLAY,MAHAKA RADIO DIGITAL;PT
FEE,THE TRADE DESK; INC.
PUBLISHER,SUPER FANTASI DOT COM PT.
PUBLISHER,GAGAS MAHADAYA INDERA; PT. (INCA)
PUBLISHER,GAGAS MAHADAYA INDERA; PT. (INCA)
OOH,THE TRADE DESK; INC.
DISPLAY,HOME TESTER INDONESIA; PT.
CONTENT & PRODUCTION,GAGAS MAHADAYA INDERA; PT.
CONTENT & PRODUCTION,BRILIO VENTURA INDONESIA; PT.
SPONSORSHIP/ PACKAGE,CARBAY SERVICES INDONESIA; PT.
DISPLAY,XAPADS MEDIA PTE.LTD
DISPLAY,SMART MEDIA4U TECHNOLOGY PTE
DISPLAY,DAILY DINAMIKA KREASI; PT.
DISPLAY,HYBRID ADTECH PTE LTD
VIDEO,VIDIO DOT COM; PT.
DISPLAY,AFFLE INDONESIA; PT
AD-OPS,GOOGLE INDONESIA; PT
DISPLAY,ECART WEBPORTAL INDONESIA; PT.
TRAFFICC,TOKOPEDIA; PT.
DISPLAY,IMAGE FUTURE INVESTMENT (HK) LTD
AFFILIATE,GLOBAL LOYALTY INDONESIA; PT
TECH SERVICE,JIVOX CORP
CONTENT & PRODUCTION,FOLKA CIPTA KARYA; PT
CONTENT & PRODUCTION,LIPUTAN6 DOT COM
DISPLAY,ECART WEBPORTAL INDONESIA; PT.
AFFILIATE,SHOPBACK MITRA SEJAHTERA; PT.
AD-OPS,REMERGE PTE LTD
SEARCH,GLOBAL DIGITAL NIAGA; PT
FEE,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
VIDEO,TOTALLY AWESOME SINGAPORE PTE. LTD.
SPONSORSHIP/ PACKAGE,MP GAMES; PT.
INFLUENCER,MEDIA PUTRA NUSANTARA
DISPLAY,GLOBAL LOYALTY INDONESIA; PT
SPONSORSHIP/ PACKAGE,YIELD MARKETING TECHNOLOGY; PT.
SEARCH,GOTO GOJEK TOKOPEDIA Tbk; PT
PACKAGE,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
CONTENT & PRODUCTION,ARKADIA MEDIA NUSANTARA; PT.
INFLUENCER,GAGAS MAHADAYA INDERA; PT. (INCA)
CONTENT & PRODUCTION,VIVA MEDIA BARU PT.
CONTENT & PRODUCTION,AdColony Singapore PTE Ltd
DISPLAY,CRITEO SINGAPORE PTE. LTD.
CONTENT & PRODUCTION,TOKOBAGUS; PT.
CONTENT & PRODUCTION,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
CONTENT & PRODUCTION,PT. CITRA MULTIMEDIA INDONESIA
FEE,FACEBOOK IRELAND LIMITED.
SPONSORSHIP/ PACKAGE,ECART WEBPORTAL INDONESIA; PT.
SEM,GOOGLE INDONESIA; PT
VIDEO (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
SPONSORSHIP/ PACKAGE,TWITTER ASIA PASIFIC. PTE. LTD
CONTENT & PRODUCTION,ALODOKTER TEKNOLOGI SOLUSI; PT
DISPLAY,VISI CIPTA BENTARA LOKA; PT
CONTENT & PRODUCTION,GARENA INDONESIA; PT.
AD-OPS,GOOGLE INDONESIA; PT
PUBLISHER,GAGAS MAHADAYA INDERA; PT. (INCA)
AD-OPS,INTEGRAL AD SCIENCE SINGAPORE PTE LTD
DISPLAY,HTTPOOL DIGITAL INDONESIA; PT.
PAID NON VIDEO,TWITTER ASIA PASIFIC. PTE. LTD
VIDEO,ECART WEBPORTAL INDONESIA; PT.
DISPLAY,MOBINET PTE. LTD.
PUBLISHER,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
CONTENT & PRODUCTION,INMOBI PTE. LTD.
PACKAGE,GAGAS MAHADAYA INDERA; PT.
PACKAGE,POPS ENTERTAIMENT GROUP; PT
DISPLAY,RTB HOUSE PTE LTD
FEE,DREAM BAHAGIA INDONESIA; PT.
DISPLAY,HTTPOOL DIGITAL INDONESIA; PT.
FEE,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
SPONSORSHIP/ PACKAGE,GLOBAL DIGITAL NIAGA; PT
DISPLAY,FORK MEDIA ASIA PTE. LTD
DISPLAY,GRIVY DOTCOM; PT
MOBILE APP,TELEKOMUNIKASI SELULAR; PT.
DISPLAY,EKATANA INTRASURYA PERSADA PT.
SPONSORSHIP/ PACKAGE,ECART WEBPORTAL INDONESIA; PT.
VIDEO,VUCLIP DIGITAL INDONESIA PT.
CONTENT & PRODUCTION,HOME TESTER INDONESIA; PT.
